id,name,SCSB,SK_LINEAR,SK_RANDOMFOREST,SK_DECISIONTREE,XGBOOST
4132,0,58.0,61.74,57.31,58.0,58.0
4133,0,56.0,60.41,56.84,56.0,55.99
4134,Nahatlatch River,48.0,53.45,48.46,48.0,48.86
4135,Nahatlatch River,50.0,54.72,49.29,48.0,48.93
4136,Nahatlatch River,51.0,55.69,51.38,51.0,51.72
4138,Nahatlatch River,54.0,58.5,55.08,54.0,53.99
4139,Nahatlatch River,52.0,57.71,53.37,52.0,52.01
4152,Fraser River,65.0,64.43,63.16,65.0,64.99
4153,Fraser River,65.0,65.08,64.77,65.0,65.0
4154,Fraser River,66.0,65.77,65.08,66.0,65.99
4675,Harrison River,57.0,56.53,56.59,57.0,57.01
4680,Skwellepil Creek,76.0,77.35,75.88,76.0,76.02
4681,Eagle Creek,76.0,78.67,76.19,76.0,76.0
4683,Chehalis River,75.0,76.94,74.9,75.0,75.0
4684,Chehalis River,80.0,83.41,80.52,80.0,80.06
4686,Trout Lake Creek,57.0,51.31,58.56,63.0,56.69
4687,Cartmell Creek,59.0,58.46,58.85,54.0,61.66
4688,Walian Creek,61.0,60.93,61.59,63.0,61.31
4689,Bear Creek,62.0,63.51,62.07,62.0,62.01
4690,Cogburn Creek,62.0,64.02,62.14,62.0,62.01
4691,Talc Creek,62.0,64.13,62.06,63.0,67.86
4692,0,63.0,66.23,62.4,63.0,62.99
4693,Cogburn Creek,65.0,68.1,63.31,60.0,66.31
4694,Mystery Creek,57.0,53.34,56.16,53.0,55.39
4695,Big Silver Creek,57.0,57.08,55.8,57.0,56.99
4696,Hornet Creek,61.0,61.14,61.33,64.0,62.66
4697,Clear Creek,58.0,59.25,56.03,54.0,60.78
4698,0,64.0,65.63,63.01,64.0,64.06
4699,0,54.0,55.5,54.17,54.0,54.02
4700,Snowshoe Creek,82.0,71.35,77.19,75.0,79.74
4701,0,72.0,67.78,70.69,72.0,72.02
4702,0,51.0,55.87,50.92,54.0,51.62
4703,0,50.0,54.82,50.17,50.0,50.09
4704,0,51.0,56.24,50.51,51.0,51.73
4705,Butter Creek,57.0,58.41,57.33,57.0,57.05
4706,Big Silver Creek,54.0,56.19,53.12,54.0,54.0
4707,Big Silver Creek,50.0,53.62,50.0,50.0,49.95
4708,Trio Creek,78.0,79.71,79.03,78.0,80.09
4709,Bremner Creek,75.0,77.43,75.05,75.0,75.01
4710,Stokke Creek,65.0,69.72,66.52,65.0,64.91
4711,Tretheway Creek,77.0,80.21,77.86,81.0,77.4
4712,Douglas Creek,51.0,56.43,51.3,51.0,51.0
4713,0,54.0,60.49,56.35,54.0,54.04
4714,Harrison River,57.0,56.52,56.59,57.0,57.01
4715,0,45.0,43.17,44.74,45.0,45.01
4716,Harrison Lake,57.0,55.71,56.17,57.0,56.97
4717,0,62.0,64.02,62.14,62.0,62.01
4718,0,57.0,56.17,56.75,57.0,57.02
4719,0,57.0,55.83,56.06,57.0,56.12
4720,0,57.0,57.08,55.8,57.0,56.99
4721,0,56.0,55.98,56.09,56.0,56.01
4722,0,51.0,51.23,54.46,53.0,50.62
4723,0,51.0,56.43,51.3,51.0,51.0
4725,Anderson Creek,63.0,58.63,61.52,63.0,62.98
4726,Johnsons Slough,57.0,53.03,57.3,57.0,56.99
4727,Wahleach Creek,60.0,60.77,59.7,60.0,60.02
4728,0,64.0,68.43,64.52,64.0,64.08
4729,0,60.0,61.13,59.55,60.0,59.94
4845,Southgate River,69.0,65.74,67.43,69.0,68.98
4846,0,74.0,68.0,73.8,74.0,74.0
4847,0,82.0,72.89,79.15,82.0,81.77
4848,Elliot Creek,73.0,70.95,71.71,73.0,73.01
4849,0,71.0,75.15,71.89,71.0,70.97
4850,0,77.0,72.76,82.95,86.0,79.29
4851,0,78.0,75.08,78.49,80.0,74.86
4852,Icewall Creek,86.0,81.37,85.81,86.0,85.94
4853,0,88.0,82.86,88.01,88.0,88.02
4854,Raleigh Creek,72.0,81.52,73.05,72.0,72.02
4855,0,76.0,94.65,77.56,76.0,76.0
4856,0,63.0,59.82,63.02,63.0,63.0
4857,Bishop River,68.0,69.46,67.46,68.0,68.01
4869,Bishop River,68.0,70.99,67.6,68.0,67.85
4870,Bishop River,70.0,75.72,70.3,70.0,70.0
4879,0,67.0,65.57,66.19,67.0,67.32
4880,Southgate River,66.0,65.39,65.67,66.0,65.99
4881,Southgate River,64.0,64.46,64.32,64.0,64.04
4884,Teaquahan River,66.0,56.82,64.9,66.0,66.02
4885,Galleon Creek,62.0,55.1,62.3,62.0,61.99
4886,Gargoyle Creek,71.0,66.68,66.62,69.0,71.46
4887,Homathko River,49.0,43.11,53.76,49.0,48.99
4888,Cumsack Creek,50.0,45.71,48.36,50.0,50.0
4889,Smith Creek,69.0,66.27,68.0,69.0,69.0
4890,Heakamie River,67.0,75.73,66.33,67.0,67.02
4891,0,77.0,67.01,75.02,77.0,76.99
4892,0,60.0,84.09,62.62,64.0,61.76
4894,0,56.0,81.12,59.09,56.0,55.99
4895,Brew Creek,88.0,86.47,87.85,88.0,87.98
4896,0,82.0,73.29,81.51,86.0,84.48
4897,0,88.0,89.19,88.0,88.0,88.06
4898,0,95.0,116.92,98.98,95.0,95.0
4899,Brew Creek,92.0,103.65,93.26,92.0,91.98
4900,Whitemantle Creek,75.0,75.01,74.88,75.0,74.98
4901,0,69.0,77.6,69.65,69.0,69.02
4902,0,78.0,78.5,78.49,78.0,78.01
4903,Scar Creek,65.0,57.35,64.51,65.0,64.99
4904,0,61.0,72.41,66.58,68.0,64.65
4905,Scar Creek,62.0,65.41,63.45,62.0,62.0
4906,Coola Creek,65.0,73.94,65.08,65.0,64.99
4910,0,64.0,58.15,64.47,64.0,64.0
4983,0,49.0,42.86,53.76,49.0,48.99
4984,Homathko River,46.0,41.25,52.99,49.0,46.99
4985,0,43.0,39.2,52.1,49.0,46.51
5379,0,110.0,113.37,106.17,107.0,107.94
5381,Clowhom River,107.0,110.3,106.58,107.0,107.01
5384,Tzoonie River,90.0,92.57,90.26,90.0,89.99
5385,Chickwat Creek,86.0,90.74,88.2,86.0,86.04
5386,0,94.0,96.77,95.42,94.0,93.98
5388,Treat Creek,106.0,109.41,105.28,106.0,106.0
5389,Perketts Creek,100.0,103.75,100.45,100.0,99.99
5390,Vancouver River,86.0,88.1,86.13,86.0,86.01
5391,0,91.0,93.73,91.28,91.0,90.98
5392,Vancouver River,92.0,95.47,92.46,92.0,92.0
5393,High Creek,77.0,79.36,77.02,77.0,76.99
5394,Glacial Creek,73.0,73.12,73.84,73.0,73.01
5395,Stakawus Creek,80.0,82.9,80.67,80.0,80.02
5396,0,91.0,95.12,92.09,91.0,91.01
5397,Deserted River,76.0,77.78,75.87,76.0,75.93
5398,Tsuahdi Creek,83.0,89.11,85.85,83.0,82.94
5399,0,74.0,76.64,74.51,74.0,74.06
5400,Potato Creek,83.0,81.42,82.83,84.0,83.19
5401,Loquilts Creek,101.0,94.69,100.51,101.0,100.47
5402,Skwawka River,97.0,90.69,96.44,97.0,97.02
5403,Hunaechin Creek,106.0,94.25,101.95,108.0,102.32
5404,0,108.0,98.7,106.11,108.0,108.0
5405,Hunaechin Creek,107.0,99.8,104.95,107.0,107.01
5406,Barkshack Creek,92.0,95.01,92.45,92.0,91.99
5407,Pilldolla Creek,95.0,94.52,94.13,95.0,94.98
5408,0,91.0,90.44,92.01,88.0,90.85
5409,0,99.0,96.19,99.32,99.0,99.07
5410,Lausmann Creek,108.0,109.01,102.46,100.0,104.34
5411,Slane Creek,90.0,93.1,90.4,90.0,89.99
5412,Smanit Creek,76.0,78.28,76.33,76.0,76.02
5413,Osgood Creek,78.0,80.37,77.82,78.0,78.01
5414,Seshal Creek,78.0,78.75,77.67,78.0,78.0
5415,Brittain River,67.0,67.69,67.69,67.0,67.03
5416,Brittain River,74.0,75.82,74.15,74.0,73.98
5438,0,94.0,99.71,96.34,94.0,94.02
5440,0,106.0,109.41,105.28,106.0,106.0
5441,0,75.0,75.98,75.17,75.0,74.9
5442,0,80.0,82.9,80.67,80.0,80.02
5443,0,70.0,75.44,73.98,73.0,75.82
5444,0,101.0,94.62,100.7,101.0,100.99
5445,0,69.0,72.17,73.77,73.0,73.68
5446,0,51.0,48.41,52.7,51.0,51.03
5447,0,62.0,59.71,62.09,62.0,61.99
8095,Pitt River,85.0,80.09,82.96,85.0,84.98
8111,0,84.0,86.85,84.05,84.0,83.89
8114,Homer Creek,95.0,98.65,95.68,95.0,95.03
8115,Pinecone Creek,99.0,100.58,99.37,99.0,99.0
8116,Shale Creek,100.0,93.81,100.2,100.0,100.0
8117,Bucklin Creek,101.0,102.02,104.02,108.0,105.08
8118,0,103.0,94.51,102.45,103.0,103.01
8119,Iceworm Creek,89.0,81.83,88.75,89.0,88.9
8120,0,112.0,120.31,111.41,112.0,112.01
8121,0,69.0,71.02,70.75,69.0,68.9
8122,0,85.0,75.39,85.98,85.0,85.02
8123,Pitt River,88.0,84.72,84.24,85.0,86.24
8125,Pitt Lake,89.0,85.84,87.21,89.0,89.01
8126,Pitt River,91.0,87.88,89.87,91.0,90.98
8127,Pitt River,91.0,87.42,89.4,91.0,90.97
8128,0,91.0,86.45,90.92,91.0,91.06
8129,Pitt River,91.0,84.27,92.47,91.0,91.0
8130,Pitt River,94.0,85.76,94.55,94.0,94.03
8131,0,103.0,93.75,102.52,103.0,103.01
8136,Stave River,81.0,79.3,80.62,81.0,81.0
8143,George Good Creek,80.0,82.31,78.37,81.0,79.57
8144,Winslow Creek,89.0,91.36,88.32,89.0,88.99
8145,0,86.0,90.83,88.11,83.0,87.98
8146,Stoney Creek,99.0,97.9,102.21,99.0,99.05
8147,Stave River,82.0,80.58,81.65,82.0,82.0
8148,Stave Lake,82.0,80.58,81.65,82.0,82.0
8150,Stave River,85.0,84.47,83.71,85.0,84.99
8151,Stave River,86.0,86.32,86.42,91.0,87.02
8152,Stave River,85.0,86.5,84.73,85.0,85.01
8153,Stave River,95.0,91.71,97.46,99.0,94.46
8154,Stave River,99.0,94.54,99.18,99.0,98.99
8155,Stave River,106.0,98.66,106.16,107.0,107.18
8156,Stave River,108.0,104.1,107.43,108.0,108.02
8573,Lillooet River,56.0,54.94,55.88,56.0,55.97
8574,Tipella Creek,81.0,84.05,82.39,81.0,81.01
8575,Sloquet Creek,70.0,71.53,69.89,70.0,69.88
8576,North Sloquet Creek,72.0,75.34,74.55,74.0,74.67
8577,South Sloquet Creek,75.0,79.47,76.19,75.0,75.04
8578,Sloquet Creek,76.0,78.38,75.87,76.0,76.06
8579,Fire Creek,53.0,56.26,52.94,53.0,52.71
8580,Stanford Creek,61.0,65.7,61.68,61.0,60.98
8581,Livingston Creek,62.0,65.81,62.93,62.0,62.05
8582,Gowan Creek,49.0,53.32,48.79,49.0,49.02
8583,Snowcap Creek,69.0,66.03,67.37,69.0,69.0
8584,0,75.0,73.99,75.07,75.0,75.02
8585,Snowcap Creek,85.0,77.49,86.06,85.0,85.02
8586,Chief Paul Creek,41.0,39.44,39.45,41.0,40.98
8587,Rogers Creek,45.0,50.57,48.1,45.0,48.38
8588,Rogers Creek,46.0,52.91,47.23,46.0,46.0
8589,Tuwasus Creek,62.0,61.28,59.81,62.0,59.05
8590,Icemantle Creek,75.0,67.6,75.49,75.0,76.57
8591,0,82.0,76.76,82.15,82.0,82.01
8592,Tuwasus Creek,63.0,62.62,62.59,63.0,63.0
8593,Tuwasus Creek,72.0,67.96,74.1,72.0,71.99
8594,Billygoat Creek,54.0,54.09,53.77,54.0,54.0
8595,0,51.0,52.66,52.05,51.0,51.08
8596,Chaos Creek,56.0,55.3,56.64,56.0,55.98
8597,Nannygoat Creek,49.0,52.14,51.99,51.0,51.71
8598,Kakila Creek,49.0,52.13,49.12,49.0,48.96
8599,0,41.0,46.96,41.44,41.0,40.95
8607,0,82.0,79.73,82.4,82.0,82.0
8608,Ure Creek,79.0,75.14,80.45,79.0,78.99
8611,Birkenhead River,29.0,34.26,29.97,29.0,29.05
8623,Birkenhead River,28.0,33.29,29.42,29.0,29.4
8624,Birkenhead River,25.0,31.25,27.65,25.0,24.98
8628,Green River,57.0,55.58,56.62,57.0,56.98
8629,Rutherford Creek,58.0,57.73,56.89,58.0,57.95
8630,0,78.0,74.21,79.68,80.0,75.89
8631,Rutherford Creek,72.0,66.13,74.59,77.0,75.66
8632,Soo River,47.0,48.47,46.47,47.0,46.97
8633,Torrent Creek,51.0,54.78,49.95,48.0,50.76
8634,0,62.0,62.55,61.92,62.0,62.05
8635,0,83.0,94.27,83.57,83.0,83.01
8636,Soo River,67.0,61.81,70.43,72.0,65.7
8637,Soo River,72.0,65.8,72.58,72.0,72.13
8638,Soo River,80.0,70.76,79.51,80.0,79.94
8639,Soo River,81.0,76.24,80.76,80.0,79.73
8640,Wedge Creek,64.0,63.27,71.18,72.0,68.05
8641,Fitzsimmons Creek,52.0,54.75,53.52,52.0,52.02
8642,Blackcomb Creek,43.0,47.64,43.39,45.0,43.46
8643,Alta Creek,48.0,51.46,50.65,49.0,48.87
8644,Green River,57.0,55.72,56.95,57.0,57.0
8645,Green River,49.0,50.8,51.73,49.0,50.59
8646,Green River,45.0,47.91,44.59,45.0,44.96
8653,0,65.0,65.75,65.58,65.0,64.92
8654,0,84.0,85.79,83.93,84.0,84.01
8656,Ryan River,84.0,80.55,84.08,84.0,83.95
8657,Ryan River,85.0,87.99,85.02,85.0,85.03
8664,Meager Creek,74.0,68.12,73.79,74.0,73.99
8665,Fish Creek,75.0,69.08,76.12,74.0,76.19
8666,0,85.0,85.15,84.99,85.0,84.99
8667,0,77.0,70.14,78.52,80.0,75.58
8668,Devastator Creek,82.0,76.44,81.35,82.0,82.0
8669,0,83.0,75.49,82.79,83.0,82.98
8670,Meager Creek,81.0,75.24,81.07,81.0,81.0
8679,0,56.0,55.12,55.8,56.0,55.99
8680,Lillooet River,55.0,54.19,55.07,55.0,55.03
8681,Lillooet River,55.0,53.72,55.13,55.0,54.98
8682,Lillooet River,55.0,54.32,55.06,55.0,55.05
8683,Lillooet River,55.0,54.04,55.0,55.0,54.97
8684,Lillooet River,55.0,53.9,55.0,55.0,55.01
8685,Lillooet Lake,55.0,53.9,55.0,55.0,55.01
8686,Lillooet River,55.0,54.04,55.19,55.0,55.06
8687,Lillooet River,56.0,54.68,56.42,56.0,55.99
8688,Lillooet River,64.0,59.93,65.34,65.0,64.18
8689,Lillooet River,65.0,60.91,67.01,65.0,64.92
8690,Lillooet River,69.0,63.34,69.17,69.0,69.0
8691,0,70.0,64.05,70.14,70.0,70.02
8692,Lillooet River,72.0,65.72,71.76,72.0,72.02
8693,Lillooet River,75.0,66.76,74.28,75.0,75.0
8694,Lillooet River,76.0,67.64,75.57,76.0,75.99
8695,Lillooet River,77.0,71.49,76.48,77.0,77.03
14623,Nepopekum Creek,35.0,39.65,35.45,35.0,35.0
14625,St. Alice Creek,42.0,47.32,41.42,42.0,41.99
14626,Klesilkwa River,47.0,51.98,49.39,49.0,48.88
14630,Ferguson Creek,36.0,40.18,37.14,36.0,35.99
14631,Potter Creek,41.0,45.96,40.97,41.0,41.01
14632,Sumallo River,35.0,40.0,36.31,35.0,35.02
14633,Sumallo River,32.0,37.3,35.56,35.0,34.68
14640,Skagit River,38.0,42.55,37.75,38.0,38.0
14641,Skagit River,38.0,42.69,37.93,38.0,37.97
15067,Stawamus River,78.0,79.62,77.93,78.0,78.0
15068,Squamish River,82.0,76.54,82.26,82.0,82.01
15069,Mamquam River,92.0,93.04,91.54,94.0,93.48
15070,Mashiter Creek,78.0,81.04,78.53,81.0,78.01
15071,Ring Creek,88.0,88.52,86.74,82.68,92.14
15072,Raffuse Creek,82.68,85.43,83.12,82.68,82.66
15073,Skookum Creek,105.0,102.99,102.77,105.0,101.59
15074,0,119.97,121.71,117.06,119.97,119.97
15075,Crawford Creek,109.0,115.36,107.12,109.0,108.97
15076,Mamquam River,99.0,102.65,98.86,99.0,99.01
15077,Fries Creek,77.0,79.65,77.07,77.0,76.98
15078,Cheakamus River,64.0,62.97,63.53,64.0,63.95
15079,Cheekye River,79.0,81.38,78.47,81.0,78.14
15080,Brohm River,73.0,74.55,74.68,73.0,75.04
15081,Culliton Creek,77.0,77.96,78.67,78.0,82.38
15082,Conroy Creek,63.0,66.77,63.47,60.0,65.34
15083,Rubble Creek,82.0,81.31,83.68,82.0,82.01
15084,Roe Creek,53.0,55.27,53.09,53.0,52.98
15085,Petticoat Creek,58.0,58.96,59.02,58.0,57.98
15086,Brandywine Creek,52.0,56.57,52.06,52.0,51.99
15087,Callaghan Creek,58.0,57.35,57.79,58.0,58.01
15088,Madeley Creek,47.0,51.15,47.54,47.0,46.98
15089,0,84.0,74.69,83.95,84.0,83.98
15090,0,59.0,60.69,60.83,58.0,59.9
15091,Millar Creek,41.0,43.1,42.21,41.0,41.03
15092,Helm Creek,59.0,63.73,61.59,59.0,58.99
15093,Isosceles Creek,79.0,71.49,79.17,79.0,79.0
15094,0,71.0,66.85,72.14,71.0,71.02
15095,Cheakamus River,63.0,62.07,62.43,63.0,62.96
15096,Cheakamus River,62.0,61.19,61.86,62.0,62.09
15097,Cheakamus River,61.0,59.86,59.63,61.0,60.88
15098,Cheakamus River,62.0,61.14,60.33,62.0,61.94
15099,Cheakamus River,73.0,68.14,75.4,74.0,70.79
15100,Cheakamus River,77.0,71.45,77.87,77.0,77.03
15102,Ashlu Creek,100.0,98.63,100.58,100.0,100.03
15103,Sigurd Creek,91.0,90.38,95.6,83.0,91.59
15104,Tatlow Creek,100.0,106.26,100.93,100.0,100.02
15105,Falk Creek,97.0,104.53,99.78,97.0,96.97
15106,0,115.0,117.55,113.77,115.0,114.99
15107,Ashlu Creek,105.0,103.24,104.36,105.0,104.95
15108,Ashlu Creek,105.0,103.7,104.66,105.0,105.03
15109,Ashlu Creek,98.0,98.29,101.69,115.0,104.58
15110,High Falls Creek,60.0,63.78,61.04,60.0,59.91
15111,0,93.0,89.85,93.74,93.0,93.0
15112,0,53.0,59.58,54.68,53.0,53.09
15113,Elaho River,90.0,78.8,89.57,90.0,89.99
15114,0,90.0,88.08,88.95,90.0,90.05
15115,0,95.0,86.49,95.44,95.0,94.93
15116,0,73.0,74.08,74.82,73.0,73.01
15117,Sims Creek,99.0,87.9,96.96,99.0,98.91
15118,0,76.0,74.99,75.49,75.0,73.54
15119,0,100.0,89.78,98.41,100.0,99.98
15120,Sims Creek,103.0,101.59,100.92,100.0,99.49
15121,0,84.0,81.22,83.63,84.0,84.06
15122,Clendinning Creek,95.0,91.45,93.11,95.0,95.0
15123,0,82.0,76.52,81.47,82.0,82.01
15124,Whiting Creek,98.0,100.28,97.79,92.0,97.82
15125,Wave Creek,99.0,101.88,98.14,99.0,98.99
15126,Clendinning Creek,99.0,100.5,98.51,99.0,98.99
15127,Clendinning Creek,103.0,109.95,103.57,103.0,103.0
15128,0,88.0,81.03,87.21,88.0,88.03
15129,0,83.0,76.24,83.5,83.0,83.01
15130,0,82.0,80.66,81.5,82.0,81.99
15131,0,81.0,74.55,82.43,81.0,81.01
15132,0,51.0,52.85,50.6,49.0,50.48
15133,0,85.0,107.58,85.6,86.0,84.37
15134,Elaho River,90.0,79.86,89.63,90.0,89.98
15135,Elaho River,90.0,80.4,89.73,90.0,89.43
15136,Elaho River,91.0,81.78,89.77,91.0,91.0
15137,Elaho River,82.0,72.26,81.42,82.0,81.97
15138,Elaho River,82.0,73.27,81.06,82.0,82.0
15139,Elaho River,84.0,85.92,84.48,84.0,84.0
15140,0,82.0,80.61,81.72,82.0,81.96
15141,Dipper Creek,80.0,71.91,79.0,80.0,80.0
15142,0,85.0,78.32,84.82,85.0,85.02
15143,0,86.0,100.56,85.78,86.0,85.99
15144,0,86.0,104.32,85.85,86.0,85.99
15145,Squamish River,82.0,76.59,82.26,82.0,82.01
15146,Squamish River,81.0,75.11,81.51,81.0,80.98
15147,Squamish River,88.0,80.04,87.68,88.0,87.96
15148,Squamish River,88.0,79.72,87.82,88.0,87.99
15149,0,87.0,76.6,86.95,87.0,86.98
15150,0,88.0,77.24,87.67,88.0,88.09
15151,Squamish River,88.0,78.23,87.84,86.0,88.92
15152,Squamish River,85.0,83.67,84.44,84.0,86.87
15153,Squamish River,85.0,95.63,85.11,84.0,85.51
16549,Powell River,62.0,61.2,61.98,62.0,62.02
16554,0,77.0,79.66,77.59,77.0,77.18
16555,0,92.0,94.49,91.99,91.0,89.52
16557,Eldred River,76.0,78.94,76.95,76.0,76.84
16558,0,74.0,76.42,74.29,74.0,73.97
16561,Jim Brown Creek,78.0,78.48,79.06,78.0,78.07
16562,Daniels River,80.0,81.3,79.3,80.0,79.99
16563,Daniels River,83.0,84.84,83.07,84.0,81.82
16564,0,83.0,86.51,83.46,83.0,82.99
16565,0,89.0,90.86,89.34,89.0,89.05
16568,Powell River,67.0,70.15,71.83,73.0,73.73
16569,Powell River,67.0,69.2,68.42,67.0,67.0
16570,Powell River,80.0,80.46,78.24,80.0,78.14
16571,Powell River,84.0,85.18,84.22,84.0,84.02
16572,Powell River,93.0,95.99,93.64,93.0,93.09
16573,Powell Lake,62.0,61.2,61.98,62.0,62.02
16581,0,72.0,73.76,73.87,73.0,73.51
16582,0,89.0,92.44,89.73,89.0,89.0
16583,Chusan Creek,96.0,97.97,95.21,96.0,95.99
16584,0,112.0,111.52,105.7,105.0,103.71
16585,Toba River,89.0,79.8,88.6,89.0,89.01
16586,Klite River,84.0,84.87,82.86,84.0,84.01
16587,Klite River,88.0,89.96,88.63,88.0,88.0
16588,Little Toba River,89.0,85.61,87.36,91.0,87.97
16589,0,80.0,80.7,80.77,80.0,80.0
16590,0,98.0,94.29,98.75,98.0,98.02
16591,Lunar Creek,85.0,80.9,86.01,85.0,85.09
16592,0,105.0,96.06,103.28,108.0,102.79
16593,Little Toba River,99.0,93.3,99.19,99.0,98.98
16594,Little Toba River,109.0,99.91,105.62,108.0,107.07
16595,0,88.0,79.06,88.26,88.0,88.02
16596,Filer Creek,86.0,78.52,83.5,86.0,84.53
16597,Montrose Creek,86.0,77.75,83.63,86.0,85.17
16598,0,82.0,77.85,83.01,82.0,82.05
16599,0,85.0,79.77,85.51,85.0,84.95
16600,Headwall Creek,93.0,85.46,88.87,88.0,90.28
16601,0,97.0,96.15,95.79,97.0,97.02
16602,0,81.0,89.99,80.88,81.0,81.01
16603,Filer Creek,86.0,82.08,85.05,86.0,85.94
16604,Filer Creek,82.0,86.13,81.57,82.0,82.01
16605,Filer Creek,81.0,88.29,80.9,81.0,81.01
16606,Filer Creek,80.0,95.07,80.1,77.0,80.43
16607,Racoon Creek,85.0,78.27,84.64,86.0,84.99
16608,0,90.0,93.3,87.4,86.0,90.07
16609,East Toba River,86.0,81.52,85.68,86.0,85.97
16610,Zoltan Creek,87.0,90.09,86.45,87.0,87.0
16611,0,86.0,98.36,85.79,86.0,86.0
16612,Dalgleish Creek,83.0,81.22,82.14,82.0,83.9
16613,Toba River,90.0,79.41,89.46,90.0,90.02
16614,Toba River,86.0,79.46,85.51,86.0,86.0
16615,Toba River,84.0,78.53,83.51,84.0,84.04
16616,Toba River,80.0,85.14,79.87,80.0,79.98
16617,Tahumming River,98.0,93.0,98.49,98.0,98.01
16618,0,105.0,101.1,103.03,105.0,104.93
16619,0,95.0,95.18,97.49,95.0,94.93
16620,Tahumming River,107.0,99.03,104.9,107.0,107.0
16621,Tahumming River,113.0,105.15,109.42,108.0,111.15
16622,Brem River,94.0,94.06,92.34,94.0,93.98
16623,Hillis Creek,87.0,90.08,88.08,87.0,87.09
16624,Larson Creek,108.0,107.95,105.97,108.0,107.95
16625,0,97.0,100.7,96.2,97.0,96.97
16626,Brem River,102.0,101.98,99.37,102.0,101.99
16628,0,88.0,91.12,89.47,92.0,88.01
16630,0,81.0,84.0,81.8,81.0,81.0
16631,Clipper Creek,80.0,84.52,85.36,83.0,83.54
16632,Orford River,101.0,97.08,100.43,101.0,101.0
16633,Dupont Creek,80.0,82.11,80.6,80.0,80.02
16634,Algard Creek,101.0,101.32,100.23,101.0,101.0
16635,0,115.0,115.06,112.15,115.0,115.04
16636,0,100.0,91.64,98.67,100.0,100.03
16637,0,127.0,118.41,112.55,115.0,116.3
16638,Orford River,109.0,100.69,106.95,107.0,109.35
16639,Orford River,112.0,105.92,109.98,112.0,111.98
16640,0,94.0,88.68,94.21,94.0,93.99
16641,0,87.0,81.4,87.18,87.0,87.0
16642,Bear River,91.0,84.16,92.39,94.0,87.96
