Purpose_Num,Consumptive?,Purpose,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,PREVIOUS_monthly_coefficients,Description of Water License Purpose,Reference/Note,
02I07,Consumptive,Indl Waste Mgmt: Effluent,M3/Y,0.95,0.95,0.95,0.95,1.05,1.07,1.08,1.08,1.07,0.95,0.95,0.95,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens. [Note, see ‘Crop harvesting and processing’ above, for water use related to agriculture vegetative waste composting operations.]","Coefficients for 'Industrial' (Ecofish, 2015). Water use likely to be consistent througout the year with some increase in summer due to additional maintenance activities and potentially dilution requirements.",
02I26,Non-consumptive,River Improvement,TF,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The clearing or excavation of the stream channel, including for river improvement;","Generally, the intent is to take water from a stream and place in another location. All existing licenses have units of TF (non-consumptive). In some cases, water may be returned to the same stream and it may be non-consumptive (Barry Watson). ",
02I41,Consumptive,Livestock & Animal: Kennel,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water to provide drinking water and sanitation requirements in the operation or maintenance of a kennel.,"Coefficients for 'Stockwatering' (Ecofish, 2015). ",
WSA04,Consumptive,"Crop Harvest, Protect & Compost",M3/Y,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to clean or wash crops, to prevent crops from reaching maturity or to delay maturation of crops, to protect crops or seedlings from frost, to harvest crops, such as cranberries or wild rice, by flooding or in agricultural vegetative waste composting operations. [Note, see ‘Waste management’ below for water use in an industrial composting facility.]","This category contains several uses that happen at very different times and have very different returns flows. Given the variability within this category, water use is distributed equally through the months with the greatest likelihood of use (Feb-Nov). In areas that are under stress or places where there are large licenses for this purpose, further investigation is required.",
09B,Consumptive,Mineralized Water: Comm. Pool,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The use in commercial bathing pools of water that is
(i) impregnated with mineral salts, elements or gases, or
(ii) naturally at a temperature suitable for that use;
? Commercial bathing pools – Mineralized water is used in commercial bathing pools.","Use likely variable, Given that units in M3/day, assume consistent use. ",
02I16,Consumptive,Indl Waste Mgmt: Garbage Dump,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens. [Note, see ‘Crop harvesting and processing’ above, for water use related to agriculture vegetative waste composting operations.]","Coefficients for 'Industrial' and 'Sewage Disposal' (Ecofish, 2015).",
02I35,Consumptive,Waterworks: Water Delivery,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water is transported to customers by tanker truck, in bottles or similar containers.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
12A,Non-consumptive,Stream Storage: Power,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",Water from a stream is stored so that it can be used for power production.,"Coefficients for 'Storage-Power' (Ecofish, 2015). ",
05B,Consumptive,Mining: Washing Coal,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used in the operation and/or maintenance of coal washing operations.,Significant volumes of water used without any particularly seasonality to use. Water goes into a tailing pond with a long retention time. Assume fully consumptive (Jeremy Roscoe).,
02A,Consumptive,Pulp Mill,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water in the production of pulp and paper products or in the operation and maintenance of a pulp mill.,"Coefficients for 'Pulp Mills' (Ecofish, 2015). ",
02I01,Consumptive,Vehicle & Eqpt: Brake Cooling,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to wash trucks, other vehicles or equipment, operate equipment to explore for, take samples or quarry rock, or to cool the brakes on logging trucks or other vehicles.","Use uncommon and likely greater in summer and fully consumptive, as water evaporates (Jeremy Roscoe, Barry Watson).",
02I,Consumptive,Industrial - Misc (Inactive),DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,"No current licenses. Used coefficients for 'Industrial' and 'Processing' (Ecofish, 2015). ",
02E,Consumptive,Pond & Aquaculture,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for floating logs, fur farming3, fish farming or keeping fish for recreational purposes, but does not include a fish hatchery.","Water use for this type of use typically does not vary from month to month (Gary Robinson, Kuterra [license holder for purpose])",
02I15,Consumptive,Livestock & Animal: Game Farm,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to provide drinking water and sanitation requirements in the operation or maintenance of a kennel, an animal shelter or boarding facility, a ranch or feedlot operation, or a game farm2, dairy farm, pig farm or poultry farm, or similar enterprise for rearing livestock.","Coefficients for 'Stockwatering' (Ecofish, 2015). ",
00B,Consumptive,Waterworks (other than LP),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water is conveyed by someone other than a local provider for waterworks purpose, but does not include water delivery.","Coefficients for 'Waterworks (Other) [M3/D]' (Ecofish, 2015).",
00B,Consumptive,Waterworks (other than LP),M3/Y,0.8,0.8,0.8,0.8,1,1.2,1.6,1.6,1,0.8,0.8,0.8,12,,"Water is conveyed by someone other than a local provider for waterworks purpose, but does not include water delivery.","Same as Waterworks: Local Provider. Water use typically doubles in peak summer months due to increased use for irrigation, washing and bathing, tourism, etc.",
02G,Consumptive,Fresh Water Bottling,"M3/D, M3/Y",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the bottling, for commercial distribution, of fresh water, including the bottling of carbonated water and water fortified with vitamins, but not including mineralized water or fermented or other processed beverages.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
11C,Non-consumptive,Conservation: Construct Works,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""conservation purpose"" means the diversion, retention or use of water for the purpose of conserving fish or wildlife and includes the construction of works for that purpose (Section 2, WSA)
Sub purposes
? Conservation – construct works – associated with conservation purpose - Works are constructed for conserving fish or wildlife.
? Conservation – stored water – Water is stored for conserving fish or wildlife.
? Conservation – use of water – Water is used for conserving fish or wildlife.","Coefficients for 'Conserv.-Use of Water' (Ecofish, 2015).",
11B,Non-consumptive,Conservation: Use of Water,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""conservation purpose"" means the diversion, retention or use of water for the purpose of conserving fish or wildlife and includes the construction of works for that purpose (Section 2, WSA)
Sub purposes
? Conservation – construct works – associated with conservation purpose - Works are constructed for conserving fish or wildlife.
? Conservation – stored water – Water is stored for conserving fish or wildlife.
? Conservation – use of water – Water is used for conserving fish or wildlife.","Coefficients for 'Conserv.-Use of Water' (Ecofish, 2015).",
05C,Consumptive,Mining: Processing Ore,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Mining Purpose – ""mining purpose"" means (Section 2, WSA)
(a) the use of water, including the use of water under pressure, for recovering minerals from the ground or from ore, or
(b) the use of water under pressure to move earth, sand, gravel or rock;","Coefficients for 'Processing' (Ecofish, 2015). Water use consistent through out year (Jeremy Roscoe). The water use would be entirely dependent on how much they were processing, which may change seasonally but shouldn't. Processing plants are expensive so they generally run at full capacity all the time. Mostly consumptive.",
WSA13,Consumptive,Industrial Waste Mgmt,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens.","Coefficients for 'Industrial' and 'Sewage Disposal' (Ecofish, 2015).",
02H,Consumptive,Bulk Shipment for Marine Trans,DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,No current licenses. ,
02I28,Consumptive,Indl Waste Mgmt: Sewage Disposal,,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens.","Coefficients for 'Sewage Disposal' (Ecofish, 2015). Typically small volumes of water that are used fairly consistently thoughout the year (staff at City of Vernon, District of Squamish [license holders for this purpose]). ",
05D,Consumptive,Mining: Placer,M3/s,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used in the operation and/or maintenance of placer mining operations.,"While there are several water licenses for the whole year, water diversion for this purpose only occurs in summer months (from April-end of October or less) (Jeremy Roscoe).  Typically water is taken out of a stream, sprayed on rock nearby, then sent to a settling pond, where sediment settles out, then water infiltrates through the gravel back into the watershed or stream indirectly. Operations typically occur May til end the end of October (Barry Watson, Jeremy Roscoe). Most license periods vary from 6/7 months to a year. ",
WSA07,Consumptive,Misc Indust,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","o The diversion of water to dewater a construction site, mine or similar excavation;
o The diversion and use of water for a standby system for fire protection;
o The use of a streambed for overburden disposal;
o The diversion and use of water for driving, booming and storing logs or other timber products; [Note, see ‘Pond and aquaculture’ for water use related to floating logs.]
o The clearing or excavation of the stream channel, including for river improvement;
o The impoundment of water in a settling pond for sediment control.","Coefficients for 'Industrial' (Ecofish, 2015).",
WSA07,Consumptive,Misc Indust,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","o The diversion of water to dewater a construction site, mine or similar excavation;
o The diversion and use of water for a standby system for fire protection;
o The use of a streambed for overburden disposal;
o The diversion and use of water for driving, booming and storing logs or other timber products; [Note, see ‘Pond and aquaculture’ for water use related to floating logs.]
o The clearing or excavation of the stream channel, including for river improvement;
o The impoundment of water in a settling pond for sediment control.","Coefficients for 'Industrial' (Ecofish, 2015).",
02I02,Consumptive,Camps & Pub Facil: Non-Work Camps,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Diversion and use of water for the operation of a recreational camp (camp that provides one or more of the following: (a) recreational experiences; (b) educational experiences; (c) rehabilitative or therapeutic experiences for persons with disabilities or chronic or life-threatening illnesses; (d) religious instruction; (e) leadership training. [Section 1, Water Sustainability Regulation])","Coefficients for 'Camps' (Ecofish, 2015). Likely higher use in summer for many users.",
09A,Consumptive,Mineralized Water: Bottling & Dist,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Mineralized water is used for sale in bottles or other containers, but does not include fresh water bottling.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
08A,Non-consumptive,Stream Storage: Non-Power,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",Water from a stream is stored so that it can be used for purposes other than power production.,"Coefficients for Storage-Non Power' (Ecofish, 2015).",
05A,Consumptive,Mining: Hydraulic,M3/S,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used in mining operations in which the force of the water is used to expose the minerals.,"While some licenses are for use for the whole year, this use typically occurs May-end of October. New licenses for this purpose are not allowed in BC anymore and there are only 3 active licenses. Water use involves using water pressure to remove material from high banks to get it lower down to get it into a sluicebox for placer mining purposes.  Water would be returned to system in a highly sediment laden form (the use involves hosing water at a hillside and water re-enters the creek) (Jeremy Roscoe).",
02I38,Non-consumptive,Fish Hatchery,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The use of water to produce fish eggs and to propagate fish by hatching fish eggs, rearing fry or sustaining brood stock under controlled conditions in a containment facility.","Non-consumptive, most use is in Feb-Apr and use is similar across fish hatcheries (Jordan Uittenbogaard, Tenderfoot Hatchery). ",
00A,Consumptive,Waterworks: Local Provider,M3/Y,0.8,0.8,0.8,0.8,1,1.2,1.6,1.6,1,0.8,0.8,0.8,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]",Water is conveyed by a local provider for waterworks purpose. See the definition of ‘local provider’ in the Water Sustainability Fees Rentals and Charges Tariff Regulation.,"Water use typically doubles in summer months due to increased use for irrigation, washing and bathing, tourism, etc. In some areas, such as the Okangan, water use can go up by 4 times in the summer. Coefficients are monthly averages, and peak day (day of highest use) is typically much higher. ",
WSA03,Consumptive,Commercial Enterprise,M3/DAY,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Commercial enterprise – The diversion and use of water
(a) for the operation of apartment buildings, hotels, motels, restaurants, service stations, mobile home, trailer or manufactured home parks, public campgrounds, including campgrounds in public parks, and commercial campgrounds, other than campgrounds associated with recreational camps, marinas, commercial amusement parks, including water parks, or commercial enterprises, or
(b) in a food and beverage processing plant.","Coefficients for 'Enterprise [MY]' (Ecofish, 2015).",
WSA03,Consumptive,Commercial Enterprise,M3/YEAR,0.8,0.8,0.8,0.8,1,1.2,1.6,1.6,1,0.8,0.8,0.8,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Commercial enterprise – The diversion and use of water
(a) for the operation of apartment buildings, hotels, motels, restaurants, service stations, mobile home, trailer or manufactured home parks, public campgrounds, including campgrounds in public parks, and commercial campgrounds, other than campgrounds associated with recreational camps, marinas, commercial amusement parks, including water parks, or commercial enterprises, or
(b) in a food and beverage processing plant.","On average, use is likely higher in the summer, due to irrigation demand, tourism, higher washing and cooling requirements, etc. For some users such as food and beverage processing plants, use may not peak in the summer months.",
05F,Consumptive,O & G: Hydrlc Frctrg  (deep GW),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Deep groundwater is injected under high pressure to fracture a subsurface formation to assist in the recovery of oil or natural gas.,"Varies with market conditions and specific license conditions (e.g. EFN requirements). Use is fully consumptive (Suzan Lapp, BC Oil and Gas Commission).",
04B,Consumptive,Land Improve: Indl for Rehab/Remed,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]","Land Improvement Purpose – ""land improvement purpose"" means the diversion or impounding of water to (Section 2,
WSA)
(a) protect land,
(b) facilitate the development of a recreational facility or of a park or other protected area,
(c) facilitate the reclamation, drainage or other improvement of land, or
(d) carry out a project of a nature similar to a project described in paragraph (b) or (c);
Sub purposes
? Land improvement – general – Water is diverted or impounded to protect land, to facilitate the development
of a recreation facility or of a park or other protected area or the reclamation, drainage or other improvement
of land. Ponds for aesthetic purposes are included in this purpose.
? Land improvement – industrial rehabilitation or remediation purposes – Water is diverted or impounded to
protect, reclaim or drain land zoned or used for industrial purposes. ","Coefficients for 'Land Improve' (Ecofish, 2015). Generally, the intent is to take water from a stream and place in another location. In some cases, water may be returned to the same stream and it may be non-consumptive. In other cases, it may be consumptive (classified as consumptive in Rood & Hamilton, 1995 and Ecofish, 2015).",
02I17,Consumptive,Grnhouse & Nursery: Grnhouse,M3/D,0,1,1,1,1,1,1,1,1,1,1,0,10,"[0,0.01,0.01,0.02,0.1,0.14,0.24,0.24,0.17,0.06,0.01,0]","Greenhouse and nursery – The diversion and use of water in a facility for the indoor propagation of fruits,
vegetables or other plants, or at a facility for the propagation of trees, plants or turf.","Use often varies, with higher use in summer months and most use between Feb and Nov. Because units are in max M3/D, assume consistent use.",
02I31,Consumptive,Livestock & Animal: Stockwatering,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.07,0.07,0.07,0.07,0.07,0.12,0.15,0.1,0.07,0.07,0.07,0.07]","The diversion and use of water in a facility for the indoor propagation of fruits, vegetables or other plants.","Coefficients for 'Stockwatering' (Ecofish, 2015, verified with MAFF Livestockwatering Factsheets. Generally, summer water requirements are twice winter requirements. There is generally no return, as the majority of water goes to milk or meat.",
